"filename", "language", "Makefile", "smoλ", "Markdown", "C++", "YAML", "HTML", "C", "JavaScript", "Python", "PostCSS", "JSON", "comment", "blank", "total"
"/home/maniospas/Desktop/p4ot/smol/std/os.s", "smoλ", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 14, 156
"/home/maniospas/Desktop/p4ot/smol/std/oscommon.h", "C++", 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 16, 28, 168
"/home/maniospas/Desktop/p4ot/smol/std/rand.s", "smoλ", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 9, 95
"/home/maniospas/Desktop/p4ot/smol/std/ray.s", "smoλ", 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 21, 182
"/home/maniospas/Desktop/p4ot/smol/std/rayget.s", "smoλ", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/home/maniospas/Desktop/p4ot/smol/std/runtime/auto.h", "C++", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 47, 4, 58
"/home/maniospas/Desktop/p4ot/smol/std/runtime/eager.h", "C++", 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 52, 26, 183
"/home/maniospas/Desktop/p4ot/smol/std/runtime/threads.h", "C++", 0, 0, 0, 408, 0, 0, 0, 0, 0, 0, 0, 76, 49, 533
"/home/maniospas/Desktop/p4ot/smol/std/time.s", "smoλ", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 7, 51
"/home/maniospas/Desktop/p4ot/smol/std/vec.s", "smoλ", 0, 198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 22, 237
"/home/maniospas/Desktop/p4ot/smol/tests/app/file.s", "smoλ", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38
"/home/maniospas/Desktop/p4ot/smol/tests/app/index.c", "C", 0, 0, 0, 0, 0, 0, 368, 0, 0, 0, 0, 4, 14, 386
"/home/maniospas/Desktop/p4ot/smol/tests/app/index.s", "smoλ", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 32
"/home/maniospas/Desktop/p4ot/smol/tests/app/ray.c", "C", 0, 0, 0, 0, 0, 0, 984, 0, 0, 0, 0, 8, 22, 1014
"/home/maniospas/Desktop/p4ot/smol/tests/app/ray.s", "smoλ", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 84
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/access.s", "smoλ", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/acquire.s", "smoλ", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 21
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/advanced_proof.s", "smoλ", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18, 80
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/banana.c", "C", 0, 0, 0, 0, 0, 0, 349, 0, 0, 0, 0, 4, 13, 366
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/banana.s", "smoλ", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/console.s", "smoλ", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/console_read.s", "smoλ", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/coroutine.s", "smoλ", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/hello.s", "smoλ", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/nummap.s", "smoλ", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/point.s", "smoλ", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/process.s", "smoλ", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/proof.s", "smoλ", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 38
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/rand.s", "smoλ", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/release.s", "smoλ", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 19
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/release_service.s", "smoλ", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 14
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/serialize.s", "smoλ", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 50
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/sleep.s", "smoλ", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 22
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/splt.s", "smoλ", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/unsafe_map.s", "smoλ", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 23
"/home/maniospas/Desktop/p4ot/smol/tests/unit/all.c", "C", 0, 0, 0, 0, 0, 0, 2407, 0, 0, 0, 0, 32, 59, 2498
"/home/maniospas/Desktop/p4ot/smol/tests/unit/all.s", "smoλ", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 66
"/home/maniospas/Desktop/p4ot/smol/tests/unit/buffers/bbuffer.s", "smoλ", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/home/maniospas/Desktop/p4ot/smol/tests/unit/buffers/buffer.s", "smoλ", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
"/home/maniospas/Desktop/p4ot/smol/tests/unit/buffers/bufferconst.s", "smoλ", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/home/maniospas/Desktop/p4ot/smol/tests/unit/buffers/buffergrow.s", "smoλ", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/maniospas/Desktop/p4ot/smol/tests/unit/buffers/retbuffer.c", "C", 0, 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 4, 12, 127
"/home/maniospas/Desktop/p4ot/smol/tests/unit/buffers/retbuffer.s", "smoλ", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 25
"/home/maniospas/Desktop/p4ot/smol/tests/unit/buffers/sbuffer.s", "smoλ", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/home/maniospas/Desktop/p4ot/smol/tests/unit/buffers/servbuf.s", "smoλ", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"/home/maniospas/Desktop/p4ot/smol/tests/unit/map", "C++", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102
"/home/maniospas/Desktop/p4ot/smol/tests/unit/map.s", "smoλ", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/home/maniospas/Desktop/p4ot/smol/tests/unit/resources/dynamic.c", "C", 0, 0, 0, 0, 0, 0, 516, 0, 0, 0, 0, 4, 12, 532
"/home/maniospas/Desktop/p4ot/smol/tests/unit/resources/dynamic.s", "smoλ", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 72
"/home/maniospas/Desktop/p4ot/smol/tests/unit/resources/effvec.s", "smoλ", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18
"/home/maniospas/Desktop/p4ot/smol/tests/unit/resources/fail.c", "C", 0, 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 8, 20, 307
"/home/maniospas/Desktop/p4ot/smol/tests/unit/resources/fail.s", "smoλ", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 12
"/home/maniospas/Desktop/p4ot/smol/tests/unit/resources/file.c", "C", 0, 0, 0, 0, 0, 0, 355, 0, 0, 0, 0, 4, 14, 373
"/home/maniospas/Desktop/p4ot/smol/tests/unit/resources/file.s", "smoλ", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/home/maniospas/Desktop/p4ot/smol/tests/unit/resources/filesize.s", "smoλ", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/home/maniospas/Desktop/p4ot/smol/tests/unit/resources/finally.s", "smoλ", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/home/maniospas/Desktop/p4ot/smol/tests/unit/resources/mem.s", "smoλ", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/home/maniospas/Desktop/p4ot/smol/tests/unit/resources/memtest.s", "smoλ", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/home/maniospas/Desktop/p4ot/smol/tests/unit/resources/ref.s", "smoλ", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/home/maniospas/Desktop/p4ot/smol/tests/unit/resources/strcat.s", "smoλ", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 31
"/home/maniospas/Desktop/p4ot/smol/tests/unit/resources/vec.c", "C", 0, 0, 0, 0, 0, 0, 519, 0, 0, 0, 0, 4, 13, 536
"/home/maniospas/Desktop/p4ot/smol/tests/unit/resources/vec.s", "smoλ", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/home/maniospas/Desktop/p4ot/smol/tests/unit/resources/virtfile.s", "smoλ", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/home/maniospas/Desktop/p4ot/smol/tests/unit/service/fib.c", "C", 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 7, 17, 138
"/home/maniospas/Desktop/p4ot/smol/tests/unit/service/fib.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 9, 51
"/home/maniospas/Desktop/p4ot/smol/tests/unit/service/fib.s", "smoλ", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 16
"/home/maniospas/Desktop/p4ot/smol/tests/unit/service/fibtest.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 4
"/home/maniospas/Desktop/p4ot/smol/tests/unit/service/infinite.s", "smoλ", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"/home/maniospas/Desktop/p4ot/smol/tests/unit/sgn.c", "C", 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 3, 11, 108
"/home/maniospas/Desktop/p4ot/smol/tests/unit/sgn.s", "smoλ", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 22
"/home/maniospas/Desktop/p4ot/smol/tests/unit/strdsl.s", "smoλ", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"/home/maniospas/Desktop/p4ot/smol/tests/unit/tutorial/affine.s", "smoλ", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/home/maniospas/Desktop/p4ot/smol/tests/unit/tutorial/algorithm", "C++", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/home/maniospas/Desktop/p4ot/smol/tests/unit/tutorial/algorithm.s", "smoλ", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/home/maniospas/Desktop/p4ot/smol/tests/unit/tutorial/buffer.s", "smoλ", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 26
"/home/maniospas/Desktop/p4ot/smol/tests/unit/tutorial/hello.s", "smoλ", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/maniospas/Desktop/p4ot/smol/tests/unit/tutorial/number.s", "smoλ", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/maniospas/Desktop/p4ot/smol/tests/unit/tutorial/pong.s", "smoλ", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"/home/maniospas/Desktop/p4ot/smol/tests/unit/types/accessvar.s", "smoλ", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/home/maniospas/Desktop/p4ot/smol/tests/unit/types/circ.s", "smoλ", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 34
"/home/maniospas/Desktop/p4ot/smol/tests/unit/types/dataunion.s", "smoλ", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 20
"/home/maniospas/Desktop/p4ot/smol/tests/unit/types/mutpoint.s", "smoλ", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 47
"/home/maniospas/Desktop/p4ot/smol/tests/unit/types/nom.s", "smoλ", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/home/maniospas/Desktop/p4ot/smol/tests/unit/types/poly.s", "smoλ", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/home/maniospas/Desktop/p4ot/smol/tests/unit/types/pong.c", "C", 0, 0, 0, 0, 0, 0, 163, 0, 0, 0, 0, 4, 12, 179
"/home/maniospas/Desktop/p4ot/smol/tests/unit/types/pong.s", "smoλ", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"/home/maniospas/Desktop/p4ot/smol/tests/unit/types/range_test.c", "C", 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 3, 11, 130
"/home/maniospas/Desktop/p4ot/smol/tests/unit/types/range_test.s", "smoλ", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/home/maniospas/Desktop/p4ot/smol/tests/unit/types/union.s", "smoλ", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 20
"Total", "-", 21, 3107, 62, 7769, 126, 3009, 6375, 571, 44, 1, 114, 2007, 1907, 25113
