"filename", "language", "Markdown", "C++", "C", "smoλ", "HTML", "JavaScript", "comment", "blank", "total"
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/unique_mem.s", "smoλ", 0, 0, 0, 14, 0, 0, 4, 6, 24
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/unsafe_map.s", "smoλ", 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/volatile_safe.c", "C", 0, 0, 246, 0, 0, 0, 4, 14, 264
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/volatile_safe.s", "smoλ", 0, 0, 0, 5, 0, 0, 0, 2, 7
"/home/maniospas/Desktop/p4ot/smol/tests/unit/all.c", "C", 0, 0, -856, 0, 0, 0, 0, 0, -856
"/home/maniospas/Desktop/p4ot/smol/tests/unit/all.s", "smoλ", 0, 0, 0, 4, 0, 0, 0, 0, 4
"/home/maniospas/Desktop/p4ot/smol/tests/unit/buffers/bufferconst.s", "smoλ", 0, 0, 0, -1, 0, 0, 0, 0, -1
"/home/maniospas/Desktop/p4ot/smol/tests/unit/buffers/buffergrow.s", "smoλ", 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/maniospas/Desktop/p4ot/smol/tests/unit/buffers/retbuffer.c", "C", 0, 0, -111, 0, 0, 0, -4, -12, -127
"/home/maniospas/Desktop/p4ot/smol/tests/unit/buffers/servbuf.s", "smoλ", 0, 0, 0, 0, 0, 0, 0, -1, -1
"/home/maniospas/Desktop/p4ot/smol/tests/unit/buffers/servbuf_alloc.s", "smoλ", 0, 0, 0, 10, 0, 0, 0, 2, 12
"/home/maniospas/Desktop/p4ot/smol/tests/unit/buffers/shared.s", "smoλ", 0, 0, 0, 20, 0, 0, 5, 6, 31
"/home/maniospas/Desktop/p4ot/smol/tests/unit/map.s", "smoλ", 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/maniospas/Desktop/p4ot/smol/tests/unit/resources/cat.s", "smoλ", 0, 0, 0, 8, 0, 0, 0, 2, 10
"/home/maniospas/Desktop/p4ot/smol/tests/unit/resources/dynamic.s", "smoλ", 0, 0, 0, 2, 0, 0, 0, 0, 2
"/home/maniospas/Desktop/p4ot/smol/tests/unit/resources/fail.s", "smoλ", 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/maniospas/Desktop/p4ot/smol/tests/unit/resources/file.c", "C", 0, 0, -21, 0, 0, 0, 0, 0, -21
"/home/maniospas/Desktop/p4ot/smol/tests/unit/resources/file.s", "smoλ", 0, 0, 0, 3, 0, 0, 0, 0, 3
"/home/maniospas/Desktop/p4ot/smol/tests/unit/resources/map", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 20
"/home/maniospas/Desktop/p4ot/smol/tests/unit/resources/map.s", "smoλ", 0, 0, 0, 14, 0, 0, 0, 3, 17
"/home/maniospas/Desktop/p4ot/smol/tests/unit/resources/mem.s", "smoλ", 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/maniospas/Desktop/p4ot/smol/tests/unit/resources/own.c", "C", 0, 0, 167, 0, 0, 0, 7, 18, 192
"/home/maniospas/Desktop/p4ot/smol/tests/unit/resources/own.s", "smoλ", 0, 0, 0, 10, 0, 0, 0, 2, 12
"/home/maniospas/Desktop/p4ot/smol/tests/unit/resources/strcat.s", "smoλ", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/maniospas/Desktop/p4ot/smol/tests/unit/service/fib.s", "smoλ", 0, 0, 0, 2, 0, 0, 1, 0, 3
"/home/maniospas/Desktop/p4ot/smol/tests/unit/service/infinite.s", "smoλ", 0, 0, 0, -1, 0, 0, 0, -2, -3
"/home/maniospas/Desktop/p4ot/smol/tests/unit/sgn.s", "smoλ", 0, 0, 0, 2, 0, 0, 0, 0, 2
"/home/maniospas/Desktop/p4ot/smol/tests/unit/strdsl.s", "smoλ", 0, 0, 0, 2, 0, 0, 0, 0, 2
"/home/maniospas/Desktop/p4ot/smol/tests/unit/tutorial/algorithm.s", "smoλ", 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/maniospas/Desktop/p4ot/smol/tests/unit/tutorial/buffer.s", "smoλ", 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/maniospas/Desktop/p4ot/smol/tests/unit/types/mutpoint.s", "smoλ", 0, 0, 0, 0, 0, 0, 0, -1, -1
"/home/maniospas/Desktop/p4ot/smol/tests/unit/types/poly.s", "smoλ", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/maniospas/Desktop/p4ot/smol/tests/unit/types/units.s", "smoλ", 0, 0, 0, 7, 0, 0, 0, 1, 8
"Total", "-", -4, 1417, 448, 852, -167, 56, -147, 416, 2871
