Date : 2026-01-12 05:10:08
Directory : /home/maniospas/Desktop/p4ot/smol
Total : 220 files,  23785 codes, 2467 comments, 2359 blanks, all 28611 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/next_var/next_var_at.cpp                  | C++        |        184 |         12 |          5 |        201 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/next_var/next_var_buffer_at.cpp           | C++        |        334 |         28 |         25 |        387 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/next_var/next_var_field.cpp               | C++        |        147 |         14 |          4 |        165 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/next_var/next_var_or.cpp                  | C++        |         66 |         12 |          2 |         80 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/parse.cpp                                 | C++        |        216 |         37 |          9 |        262 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/parse_signature.cpp                       | C++        |        431 |         20 |         22 |        473 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/properties/properties.cpp                 | C++        |        217 |         25 |          9 |        251 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/rebase.cpp                                | C++        |         33 |         12 |          4 |         49 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/returns/map_to_return.cpp                 | C++        |        191 |         17 |          5 |        213 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/returns/parse_return.cpp                  | C++        |         69 |         16 |          4 |         89 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/simplify.cpp                              | C++        |        295 |         26 |         19 |        340 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/tostr/recommendations.cpp                 | C++        |         44 |         14 |          3 |         61 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/tostr/signature.cpp                       | C++        |        122 |          3 |          6 |        131 |
| /home/maniospas/Desktop/p4ot/smol/backup/smolang.cpp                                      | C++        |        621 |         38 |         23 |        682 |
| /home/maniospas/Desktop/p4ot/smol/backup/tokenize.cpp                                     | C++        |        467 |         31 |         25 |        523 |
| /home/maniospas/Desktop/p4ot/smol/backup/tokenize.h                                       | C++        |         41 |         13 |          9 |         63 |
| /home/maniospas/Desktop/p4ot/smol/backup/utils/base62.cpp                                 | C++        |         18 |         12 |          4 |         34 |
| /home/maniospas/Desktop/p4ot/smol/backup/utils/base62.h                                   | C++        |          7 |         12 |          4 |         23 |
| /home/maniospas/Desktop/p4ot/smol/backup/utils/common.cpp                                 | C++        |        179 |         17 |         20 |        216 |
| /home/maniospas/Desktop/p4ot/smol/backup/utils/common.h                                   | C++        |         33 |         17 |         11 |         61 |
| /home/maniospas/Desktop/p4ot/smol/backup/utils/compiler.cpp                               | C++        |         31 |          4 |          5 |         40 |
| /home/maniospas/Desktop/p4ot/smol/backup/utils/compiler.h                                 | C++        |         34 |         13 |          8 |         55 |
| /home/maniospas/Desktop/p4ot/smol/backup/utils/faststring.cpp                             | C++        |         14 |         12 |          3 |         29 |
| /home/maniospas/Desktop/p4ot/smol/backup/utils/faststring.h                               | C++        |         31 |         12 |          7 |         50 |
| /home/maniospas/Desktop/p4ot/smol/backup/utils/segments.h                                 | C++        |        292 |         45 |         23 |        360 |
| /home/maniospas/Desktop/p4ot/smol/backup/utils/tasks.cpp                                  | C++        |         24 |          0 |          1 |         25 |
| /home/maniospas/Desktop/p4ot/smol/backup/utils/tasks.h                                    | C++        |         15 |          0 |          3 |         18 |
| /home/maniospas/Desktop/p4ot/smol/backup/utils/topython.cpp                               | C++        |         25 |          0 |          2 |         27 |
| /home/maniospas/Desktop/p4ot/smol/backup/utils/topython.h                                 | C++        |          8 |          0 |          4 |         12 |
| /home/maniospas/Desktop/p4ot/smol/docs/blog/2025-09-06.html                               | HTML       |        426 |          0 |         55 |        481 |
| /home/maniospas/Desktop/p4ot/smol/docs/index.html                                         | HTML       |        131 |          6 |         14 |        151 |
| /home/maniospas/Desktop/p4ot/smol/docs/material.html                                      | HTML       |        133 |          3 |         16 |        152 |
| /home/maniospas/Desktop/p4ot/smol/docs/std.html                                           | HTML       |        809 |          0 |         10 |        819 |
| /home/maniospas/Desktop/p4ot/smol/docs/std.s                                              | ARM        |         12 |         10 |          1 |         23 |
| /home/maniospas/Desktop/p4ot/smol/docs/tutorial.html                                      | HTML       |      1,343 |          8 |        325 |      1,676 |
| /home/maniospas/Desktop/p4ot/smol/docs/vendor/prism/prism.min.css                         | PostCSS    |          1 |          0 |          0 |          1 |
| /home/maniospas/Desktop/p4ot/smol/docs/vendor/prism/prism.min.js                          | JavaScript |          1 |          0 |          0 |          1 |
| /home/maniospas/Desktop/p4ot/smol/lsp/README.md                                           | Markdown   |          3 |          0 |          1 |          4 |
| /home/maniospas/Desktop/p4ot/smol/lsp/extension.js                                        | JavaScript |         37 |          1 |          4 |         42 |
| /home/maniospas/Desktop/p4ot/smol/lsp/language-configuration.json                         | JSON       |         16 |          0 |          1 |         17 |
| /home/maniospas/Desktop/p4ot/smol/lsp/package.json                                        | JSON       |         53 |          0 |          1 |         54 |
| /home/maniospas/Desktop/p4ot/smol/lsp/server.js                                           | JavaScript |        559 |         27 |         44 |        630 |
| /home/maniospas/Desktop/p4ot/smol/lsp/smol_builtins.js                                    | JavaScript |          3 |          0 |          0 |          3 |
| /home/maniospas/Desktop/p4ot/smol/lsp/smol_directives.js                                  | JavaScript |         23 |          0 |          1 |         24 |
